productId,productName,category,manufacturer,price,unit,minOrderQty,stockQty,leadTimeDays,warehouseLocation,weight,dimensions,restrictedStates,applicableProjectTypes,certifications,ecoFriendly,recyclable,sustainableSource,warrantyYears,fireRating,installationDifficulty,description
P1041,Angle Iron,Steel,MegaSupply,308.64,sqft,50,3965,18,OH,196.92,51.1x38x8.5,,Residential;Renovation;Infrastructure;Commercial,CE Marked;ISO 9001,No,Yes,Yes,10,Class C,Moderate,MegaSupply Angle Iron - Premium quality steel product for construction projects.
P1042,PVC Pipe,Plumbing,BuildCo,223.32,ea,100,748,28,AR,93.87,51.6x34.5x31,MI;MO;SD,Residential;Renovation;Industrial;New Construction,ASTM Compliant,No,No,No,2,Class A,Easy,BuildCo PVC Pipe - Premium quality plumbing product for construction projects.
P1043,EPDM Rubber,Roofing,ProBuild,141.11,sqft,1,1451,25,IL,17.02,26.7x29.9x34.1,ID;AL,Infrastructure;New Construction;Commercial,FSC Certified;ASTM Compliant,No,No,No,10,Class B,Professional Required,ProBuild EPDM Rubber - Premium quality roofing product for construction projects.
P1044,Fiberglass Batt,Insulation,ConstructMax,258.29,box,100,855,3,OH,73.27,92.9x19.3x17.8,NH;ID,Infrastructure;New Construction,,No,Yes,No,2,Class B,Moderate,ConstructMax Fiberglass Batt - Premium quality insulation product for construction projects.
P1045,Cellulose,Insulation,PremiumPro,188.79,ft,50,5040,23,NV,29.21,12.9x27.6x32.1,SD,Commercial;Residential;Renovation;Infrastructure,,Yes,No,No,5,,Complex,PremiumPro Cellulose - Premium quality insulation product for construction projects.
P1046,PVC Pipe,Plumbing,PremiumPro,189.77,sqft,10,2413,1,HI,18.95,110.7x9.2x42.2,AK;KY;NH,Renovation;Commercial;New Construction,ISO 9001;UL Listed,No,No,No,1,,Complex,PremiumPro PVC Pipe - Premium quality plumbing product for construction projects.
P1047,Cabinet Hardware,Fixtures,TrustedBrand,173.2,ea,10,572,7,GA,31.22,69x29.7x12.4,KS;WI,Industrial;Commercial,ISO 9001;CE Marked,Yes,No,No,1,Class B,Professional Required,TrustedBrand Cabinet Hardware - Premium quality fixtures product for construction projects.
P1048,Wire Cable,Electrical,ConstructMax,281.56,sqft,50,1426,18,MI,138.71,126x8.2x9.7,NY,Residential;New Construction;Commercial;Infrastructure,UL Listed;ISO 9001,No,Yes,No,2,Class C,Easy,ConstructMax Wire Cable - Premium quality electrical product for construction projects.
P1049,Ventilation Fan,HVAC,ValueBuilders,1138.67,ft,100,2227,3,UT,169.93,17.7x33.9x7.8,WI,Commercial;New Construction,,No,No,Yes,10,,Professional Required,ValueBuilders Ventilation Fan - Premium quality hvac product for construction projects.
P1050,Laminate,Flooring,TrustedBrand,217.92,ea,100,351,2,AK,165.38,71.6x4.6x27.2,GA,Renovation;Industrial;Commercial;Residential;New Construction,ISO 9001,Yes,No,Yes,1,Class B,Complex,TrustedBrand Laminate - Premium quality flooring product for construction projects.
P1051,Wire Cable,Electrical,QualityMaterials,106.92,ea,10,4330,19,CA,181.92,43.4x13.8x45.7,,Industrial;Commercial;Infrastructure,LEED Certified,No,No,Yes,10,Class B,Professional Required,QualityMaterials Wire Cable - Premium quality electrical product for construction projects.
P1052,Spray Foam,Insulation,MegaSupply,308.84,ea,10,2226,26,PA,141.53,45.2x27.8x11.7,CO;UT;OH,Residential;Commercial,LEED Certified;UL Listed,No,No,Yes,2,,Moderate,MegaSupply Spray Foam - Premium quality insulation product for construction projects.
P1053,Sink,Fixtures,EcoConstruct,228.88,ft,50,2985,11,NJ,98.72,85.1x20.4x27.5,,Infrastructure;New Construction;Commercial,Green Guard,No,Yes,No,2,Class C,Moderate,EcoConstruct Sink - Premium quality fixtures product for construction projects.
P1054,Casement,Windows,PremiumPro,901.56,sqft,10,4520,2,MD,48.88,70.9x12.6x40.8,CT;NM,New Construction;Renovation,Energy Star;ISO 9001,No,No,Yes,25,Class A,Professional Required,PremiumPro Casement - Premium quality windows product for construction projects.
P1055,Bathtub,Fixtures,TrustedBrand,83.7,bundle,1,226,11,NM,147.19,141.7x34.5x10.2,NE;RI,New Construction;Industrial;Residential,,Yes,Yes,No,1,Class A,Professional Required,TrustedBrand Bathtub - Premium quality fixtures product for construction projects.
P1056,Heat Pump,HVAC,PremiumPro,2754.93,ea,25,1517,10,OR,145.06,45x48.1x20.8,,Infrastructure;New Construction;Residential;Commercial,Energy Star,No,No,No,25,,Professional Required,PremiumPro Heat Pump - Premium quality hvac product for construction projects.
P1057,Hinges,Hardware,EcoConstruct,256.74,bundle,1,187,12,MN,73.42,49.8x41.6x19.6,AK;MT;OR,Infrastructure;Renovation,Green Guard,No,No,Yes,0,Class A,Complex,EcoConstruct Hinges - Premium quality hardware product for construction projects.
P1058,Interior Latex,Paint,ValueBuilders,149.31,bundle,1,2557,17,IN,46.22,47.2x34.7x50,MO;SC,Commercial;New Construction;Renovation;Infrastructure,Energy Star,No,Yes,No,1,Class A,Complex,ValueBuilders Interior Latex - Premium quality paint product for construction projects.
P1059,Ductwork,HVAC,PremiumPro,3399.59,bundle,25,1212,7,TN,49.64,149.7x46.9x44.9,AR,Commercial;Infrastructure;Renovation,Energy Star,No,No,No,2,Class C,Complex,PremiumPro Ductwork - Premium quality hvac product for construction projects.
P1060,OSB Board,Lumber,QualityMaterials,27.41,ft,1,3808,27,MA,67.46,79.4x51.6x32.4,DE;MT;ID;AZ,Renovation;Commercial;Industrial;Infrastructure;New Construction,CE Marked,No,Yes,Yes,1,Class C,Professional Required,QualityMaterials OSB Board - Premium quality lumber product for construction projects.
P1061,Anchor,Hardware,MegaSupply,211.77,sqft,1,4947,25,VA,127.7,28.7x31.8x32.6,,Renovation;Infrastructure;Industrial,,Yes,No,Yes,1,,Professional Required,MegaSupply Anchor - Premium quality hardware product for construction projects.
P1062,2x6,Lumber,IndustryLeader,39.26,ea,1,1402,30,NE,154.55,116.6x51.3x4.1,WV;MS;MN,Residential;Renovation,LEED Certified;ISO 9001,Yes,No,Yes,10,Class C,Complex,IndustryLeader 2x6 - Premium quality lumber product for construction projects.
P1063,Screws,Hardware,EcoConstruct,113.79,bundle,25,1959,29,MO,142.69,91.1x21.2x28.4,TX;SC;VA,Commercial;Residential,CE Marked;LEED Certified,No,No,Yes,0,,Easy,EcoConstruct Screws - Premium quality hardware product for construction projects.
P1064,Nails,Hardware,ValueBuilders,160.39,box,10,2503,22,IN,87.69,119.4x42.7x42.2,PA;WI;NE,New Construction;Renovation;Residential,,No,No,No,25,,Professional Required,ValueBuilders Nails - Premium quality hardware product for construction projects.
P1065,2x4,Lumber,EcoConstruct,42.94,ft,1,4233,8,MS,26.28,135.6x21.6x28.5,MD;KS;NC,Renovation;Commercial,,Yes,No,Yes,25,Class A,Complex,EcoConstruct 2x4 - Premium quality lumber product for construction projects.
P1066,Toilet,Fixtures,PremiumPro,170.4,box,50,2444,1,IN,117.35,82.6x14.8x47.9,WI;VA,Commercial;Infrastructure;Residential;Renovation,ISO 9001;Green Guard,No,No,No,2,Class A,Moderate,PremiumPro Toilet - Premium quality fixtures product for construction projects.
P1067,Metal Stud,Steel,ValueBuilders,167.58,ea,100,4572,20,NC,151.66,147.7x31.2x32,MO;MT;OH,New Construction;Infrastructure;Commercial,LEED Certified,No,No,Yes,2,,Professional Required,ValueBuilders Metal Stud - Premium quality steel product for construction projects.
P1068,Grout Mix,Concrete,MegaSupply,55.08,box,100,5079,13,OH,26.5,98.7x27.1x48.4,AZ;VA,Residential;Industrial;Renovation;Commercial,FSC Certified,Yes,No,No,1,Class C,Moderate,MegaSupply Grout Mix - Premium quality concrete product for construction projects.
P1069,Garage Door,Doors,PremiumPro,274.06,box,50,4719,16,OK,127.94,101.2x34.7x39.9,WI,Residential;New Construction,ASTM Compliant,No,Yes,Yes,2,,Moderate,PremiumPro Garage Door - Premium quality doors product for construction projects.
P1070,I-Beam,Steel,ValueBuilders,120.48,sqft,1,1743,11,NY,183.89,72.5x5.4x39.2,LA;AK;NE,Renovation;Infrastructure,ASTM Compliant,No,Yes,Yes,2,Class B,Moderate,ValueBuilders I-Beam - Premium quality steel product for construction projects.
P1071,Nails,Hardware,EcoConstruct,166.23,sqft,25,2554,14,KY,13.92,119.4x41.9x32.4,,Residential;New Construction;Renovation,FSC Certified,Yes,No,No,2,Class C,Professional Required,EcoConstruct Nails - Premium quality hardware product for construction projects.
P1072,Grout Mix,Concrete,ValueBuilders,99.54,bundle,1,1600,17,IA,154.98,41x25x29.1,NE;MN,Renovation;Industrial;New Construction,FSC Certified;CE Marked,No,No,No,25,Class A,Moderate,ValueBuilders Grout Mix - Premium quality concrete product for construction projects.
P1073,Faucet,Plumbing,QualityMaterials,139.53,bundle,100,154,12,IN,153.47,119.6x40.6x42.2,CT;ME;TX;AK,Commercial;New Construction;Industrial;Residential;Infrastructure,Energy Star;FSC Certified,No,Yes,No,0,,Easy,QualityMaterials Faucet - Premium quality plumbing product for construction projects.
P1074,Mineral Wool,Insulation,EcoConstruct,270.84,sqft,100,706,15,MS,118.59,151.4x13.1x8.5,AL;WA;MS;OR,Renovation;New Construction,,No,No,Yes,5,Class B,Complex,EcoConstruct Mineral Wool - Premium quality insulation product for construction projects.
P1075,Sliding Door,Doors,ProBuild,820.01,bundle,25,3109,24,MT,59.4,75x24.5x41.8,IN;NV,New Construction;Renovation;Industrial,LEED Certified;Green Guard,No,No,Yes,1,Class A,Easy,ProBuild Sliding Door - Premium quality doors product for construction projects.
P1076,4x4,Lumber,ProBuild,7.6,sqft,1,4924,22,CA,166.28,75.1x44.6x46.5,,Renovation;New Construction;Commercial;Infrastructure,,No,Yes,Yes,1,,Professional Required,ProBuild 4x4 - Premium quality lumber product for construction projects.
P1077,Hinges,Hardware,EcoConstruct,157.23,box,100,1019,6,NH,154.85,149.8x34.7x15.9,CT;TN;NE;MO,Industrial;Residential;New Construction,Green Guard;UL Listed,No,No,No,1,Class A,Moderate,EcoConstruct Hinges - Premium quality hardware product for construction projects.
P1078,Spray Foam,Insulation,ConstructMax,58.71,ea,1,1884,3,DE,47.96,141.3x41.8x23.6,NH,Industrial;Residential;Renovation;Commercial,ASTM Compliant,No,Yes,Yes,0,Class A,Professional Required,ConstructMax Spray Foam - Premium quality insulation product for construction projects.
P1079,Stain,Paint,BuildCo,121.47,box,100,786,16,MT,154.98,85.4x44.8x44.4,,New Construction;Commercial,UL Listed,No,No,Yes,25,Class B,Professional Required,BuildCo Stain - Premium quality paint product for construction projects.
P1080,Rebar,Steel,ValueBuilders,525.45,box,100,4066,23,NH,59.23,23.2x12x19.5,GA;NJ;AL;IN,Industrial;Infrastructure;Commercial,ASTM Compliant;ISO 9001,Yes,No,No,2,,Professional Required,ValueBuilders Rebar - Premium quality steel product for construction projects.
P1081,Anchor,Hardware,IndustryLeader,47.42,sqft,25,3298,13,IN,26.82,46.9x45.7x44.1,ID;MN;VT;LA,Residential;New Construction;Commercial;Infrastructure,Green Guard,No,No,Yes,1,,Complex,IndustryLeader Anchor - Premium quality hardware product for construction projects.
P1082,Garage Door,Doors,TrustedBrand,171.05,ea,100,4146,5,TN,10.83,78.4x19.7x29.6,IN;NM;SD;AR,Infrastructure;New Construction;Renovation,,No,No,No,2,,Professional Required,TrustedBrand Garage Door - Premium quality doors product for construction projects.
P1083,Hammer,Tools,MegaSupply,311.61,sqft,10,825,24,AZ,87.91,123.5x24x37,KS;ME;ID,Industrial;New Construction;Commercial,LEED Certified,No,No,No,1,Class B,Easy,MegaSupply Hammer - Premium quality tools product for construction projects.
P1084,Garage Door,Doors,PremiumPro,622.67,sqft,1,1128,21,KY,33.25,86.4x20.8x11.9,UT,Renovation;Infrastructure,CE Marked;Green Guard,No,No,No,1,Class C,Complex,PremiumPro Garage Door - Premium quality doors product for construction projects.
P1085,Toilet,Fixtures,IndustryLeader,37.43,sqft,10,2544,11,IA,45.4,105.4x29.6x26.5,VT;MA;CA;WY,New Construction;Infrastructure,,No,Yes,No,10,Class A,Easy,IndustryLeader Toilet - Premium quality fixtures product for construction projects.
P1086,Nails,Hardware,TrustedBrand,250.64,box,1,2038,28,DE,119.92,73.6x21.8x40.5,AL;NH;NV,Infrastructure,,No,No,No,10,Class A,Easy,TrustedBrand Nails - Premium quality hardware product for construction projects.
P1087,Rigid Foam Board,Insulation,QualityMaterials,64.65,ft,100,4500,26,RI,11.11,85.7x28x5,ID,Renovation;Industrial,ISO 9001;Energy Star,No,No,Yes,5,Class C,Complex,QualityMaterials Rigid Foam Board - Premium quality insulation product for construction projects.
P1088,2x8,Lumber,IndustryLeader,6.11,ft,100,127,7,PA,87.83,24.1x11.4x8.9,NM;AZ;ME,New Construction;Residential,FSC Certified,Yes,No,No,25,,Easy,IndustryLeader 2x8 - Premium quality lumber product for construction projects.
P1089,Nails,Hardware,MegaSupply,274.07,bundle,1,4000,2,IA,70.16,59.2x4.9x42.5,MO;DE;AR;WY,New Construction;Industrial,ISO 9001,Yes,No,Yes,0,Class C,Professional Required,MegaSupply Nails - Premium quality hardware product for construction projects.
P1090,Picture Window,Windows,IndustryLeader,943.66,bundle,25,2987,17,GA,117.59,28.4x37.9x38.6,ID;WA;MD,Residential;Infrastructure;Industrial,FSC Certified,No,No,Yes,25,Class B,Moderate,IndustryLeader Picture Window - Premium quality windows product for construction projects.
P1091,Asphalt Shingle,Roofing,TrustedBrand,162.32,box,10,4818,2,AK,198.86,92.6x25.6x44.7,PA;NY;OK,Commercial;New Construction,,No,No,Yes,1,Class B,Complex,TrustedBrand Asphalt Shingle - Premium quality roofing product for construction projects.
P1092,Copper Pipe,Plumbing,IndustryLeader,208.7,box,100,4958,9,RI,150.5,69.7x4.6x25,,Industrial;Commercial,FSC Certified;UL Listed,No,Yes,No,2,Class C,Professional Required,IndustryLeader Copper Pipe - Premium quality plumbing product for construction projects.
P1093,Cedar Decking,Lumber,EcoConstruct,24.65,bundle,10,914,11,WV,58.03,32.8x26.5x7.5,CA;OH;CO,New Construction;Renovation,,No,Yes,Yes,10,Class B,Professional Required,EcoConstruct Cedar Decking - Premium quality lumber product for construction projects.
P1094,Drain Fitting,Plumbing,ValueBuilders,113.21,box,50,2129,6,MS,111.78,24.6x10x14,,New Construction;Renovation,ASTM Compliant,No,No,Yes,0,,Complex,ValueBuilders Drain Fitting - Premium quality plumbing product for construction projects.
P1095,Heat Pump,HVAC,ValueBuilders,2601.04,ea,10,986,29,NV,7.23,114x32x36.8,CO,Commercial;Industrial;Renovation,,No,No,Yes,1,Class A,Easy,ValueBuilders Heat Pump - Premium quality hvac product for construction projects.
P1096,Sliding,Windows,ProBuild,408.26,ea,50,3393,27,TN,39.89,43.6x51.6x48.9,RI;PA;IA;NE,Renovation;Commercial;Residential;Industrial,ASTM Compliant,No,Yes,Yes,0,Class C,Complex,ProBuild Sliding - Premium quality windows product for construction projects.
P1097,Saw,Tools,IndustryLeader,186.53,sqft,50,2583,10,FL,29.52,39.5x5.6x23.9,LA;AK;UT;ME,Industrial;Infrastructure,Energy Star;UL Listed,No,No,Yes,0,Class C,Easy,IndustryLeader Saw - Premium quality tools product for construction projects.
P1098,Entry Door,Doors,IndustryLeader,371.7,sqft,100,113,20,VT,148.79,112.7x22.7x45.2,PA;SD;CA,Infrastructure,,Yes,Yes,Yes,10,Class B,Easy,IndustryLeader Entry Door - Premium quality doors product for construction projects.
P1099,Copper Pipe,Plumbing,QualityMaterials,43.19,ea,25,3786,23,ME,129.97,155.6x29.1x19.6,,Commercial;Industrial,,No,No,No,25,Class B,Professional Required,QualityMaterials Copper Pipe - Premium quality plumbing product for construction projects.
P1100,Ceramic Tile,Flooring,BuildCo,185.36,box,50,3525,29,KY,4.39,27.6x4.7x35.1,IL;DE;UT;IN,Infrastructure;New Construction;Renovation;Commercial,FSC Certified,No,No,Yes,25,,Moderate,BuildCo Ceramic Tile - Premium quality flooring product for construction projects.
P1101,TPO Membrane,Roofing,IndustryLeader,230.9,sqft,50,704,3,AK,21.51,132.5x28.8x16.7,NY;WA;ND;AK,Renovation;New Construction,,No,Yes,Yes,1,Class B,Complex,IndustryLeader TPO Membrane - Premium quality roofing product for construction projects.
P1102,2x8,Lumber,MegaSupply,34.78,ea,100,1239,27,CT,94.87,33.6x34.4x48.7,,Industrial;Residential,LEED Certified,Yes,Yes,Yes,1,Class B,Easy,MegaSupply 2x8 - Premium quality lumber product for construction projects.
P1103,Lock Set,Hardware,ConstructMax,313.97,box,1,3693,6,SD,84.54,71.7x15.5x32.9,VT;NY;IA,New Construction;Infrastructure,,No,Yes,No,10,Class C,Professional Required,ConstructMax Lock Set - Premium quality hardware product for construction projects.
P1104,Sink,Fixtures,QualityMaterials,197.46,ea,50,1252,20,HI,18.11,63.9x39.9x44.2,MN;ME;AR,Infrastructure;Industrial,,No,No,Yes,5,Class A,Complex,QualityMaterials Sink - Premium quality fixtures product for construction projects.
P1105,Sliding,Windows,BuildCo,851.21,ea,10,4549,5,SD,176.85,111.1x22.6x28.5,KS;HI,New Construction;Industrial;Commercial;Infrastructure,ASTM Compliant,Yes,No,No,1,,Moderate,BuildCo Sliding - Premium quality windows product for construction projects.
